,nine,ten,twelve,twentysix,thirty,fifty,sixty,onetwenty,macd,signal,macdHisto,twentyeightDayVol
149,103.75,103.83,103.92,103.26,102.95,101.28,100.36,94.25,0.6599999999999966,1.2932595083055027,-0.6332595083055061,0.204
150,104.05,104.09,104.12,103.41,103.1,101.44,100.52,94.43,0.710000000000008,1.176607606644404,-0.46660760664439604,0.215
151,104.65,104.62,104.57,103.68,103.35,101.66,100.73,94.64,0.8899999999999864,1.1192860853155207,-0.2292860853155343,0.218
152,105.42,105.32,105.17,104.04,103.68,101.93,100.98,94.87,1.1299999999999955,1.1214288682524156,0.008571131747579841,0.218
153,106.4,106.23,105.97,104.51,104.11,102.26,101.29,95.13,1.4599999999999937,1.1891430946019312,0.2708569053980625,0.221
154,107.63,107.38,106.98,105.1,104.65,102.66,101.66,95.42,1.8800000000000097,1.327314475681547,0.5526855243184627,0.219
155,108.6,108.31,107.83,105.65,105.16,103.05,102.02,95.7,2.1799999999999926,1.4978515805452361,0.6821484194547565,0.222
156,108.92,108.65,108.19,105.99,105.49,103.33,102.29,95.94,2.200000000000003,1.6382812644361895,0.5617187355638134,0.228
157,109.02,108.79,108.38,106.24,105.74,103.57,102.52,96.16,2.1400000000000006,1.7386250115489519,0.4013749884510487,0.238
158,109.1,108.91,108.54,106.48,105.98,103.8,102.75,96.38,2.0600000000000023,1.802900009239162,0.2570999907608402,0.246
159,109.31,109.14,108.79,106.75,106.25,104.05,102.99,96.61,2.0400000000000063,1.850320007391331,0.18967999260867519,0.248
160,109.5,109.35,109.02,107.01,106.51,104.29,103.23,96.84,2.009999999999991,1.882256005913063,0.12774399408692783,0.25
161,109.57,109.44,109.15,107.22,106.73,104.51,103.45,97.06,1.9300000000000068,1.891804804730452,0.03819519526955473,0.253
162,108.85,108.81,108.66,107.13,106.68,104.57,103.53,97.21,1.5300000000000011,1.819443843784362,-0.28944384378436094,0.259
163,108.82,108.79,108.66,107.24,106.81,104.73,103.7,97.4,1.4200000000000017,1.7395550750274902,-0.3195550750274885,0.269
164,109.23,109.17,109.0,107.51,107.07,104.97,103.94,97.62,1.4899999999999949,1.689644060021991,-0.1996440600219962,0.276
165,109.83,109.72,109.49,107.86,107.4,105.25,104.21,97.86,1.6299999999999955,1.677715248017592,-0.047715248017596634,0.289
166,110.8,110.62,110.29,108.37,107.87,105.62,104.55,98.14,1.9200000000000017,1.726172198414074,0.1938278015859276,0.307
